episode,episode_reward,goal_reached,reason,max_steps
289,348.8582332820969,1,goal reached,50
290,363.05239376347834,1,goal reached,50
291,335.3991296780066,1,goal reached,53
292,348.93503528933866,1,goal reached,50
293,393.5360044829939,1,goal reached,49
294,351.6794703980188,1,goal reached,50
295,349.82405669924754,1,goal reached,50
296,603.9988738139996,1,goal reached,39
297,345.70604031083724,1,goal reached,53
298,98.235250646135,1,goal reached,60
299,348.8582332820969,1,goal reached,50
300,363.05239376347834,1,goal reached,50
301,335.3991296780066,1,goal reached,53
302,348.93503528933866,1,goal reached,50
303,393.5360044829939,1,goal reached,49
304,351.6794703980188,1,goal reached,50
305,349.82405669924754,1,goal reached,50
306,603.9988738139996,1,goal reached,39
307,345.70604031083724,1,goal reached,53
308,98.235250646135,1,goal reached,60
309,348.8582332820969,1,goal reached,50
310,363.05239376347834,1,goal reached,50
311,335.3991296780066,1,goal reached,53
312,348.93503528933866,1,goal reached,50
313,393.5360044829939,1,goal reached,49
314,351.6794703980188,1,goal reached,50
315,349.82405669924754,1,goal reached,50
316,603.9988738139996,1,goal reached,39
317,345.70604031083724,1,goal reached,53
318,98.235250646135,1,goal reached,60
319,348.8582332820969,1,goal reached,50
320,363.05239376347834,1,goal reached,50
321,335.3991296780066,1,goal reached,53
322,348.93503528933866,1,goal reached,50
323,393.5360044829939,1,goal reached,49
324,351.6794703980188,1,goal reached,50
325,349.82405669924754,1,goal reached,50
326,603.9988738139996,1,goal reached,39
327,345.70604031083724,1,goal reached,53
328,98.235250646135,1,goal reached,60
329,348.8582332820969,1,goal reached,50
330,363.05239376347834,1,goal reached,50
331,335.3991296780066,1,goal reached,53
332,348.93503528933866,1,goal reached,50
333,393.5360044829939,1,goal reached,49
334,351.6794703980188,1,goal reached,50
335,349.82405669924754,1,goal reached,50
336,603.9988738139996,1,goal reached,39
337,345.70604031083724,1,goal reached,53
338,98.235250646135,1,goal reached,60
339,348.8582332820969,1,goal reached,50
340,363.05239376347834,1,goal reached,50
341,335.3991296780066,1,goal reached,53
342,348.93503528933866,1,goal reached,50
343,393.5360044829939,1,goal reached,49
344,351.6794703980188,1,goal reached,50
345,349.82405669924754,1,goal reached,50
346,603.9988738139996,1,goal reached,39
347,345.70604031083724,1,goal reached,53
348,98.235250646135,1,goal reached,60
349,348.8582332820969,1,goal reached,50
350,363.05239376347834,1,goal reached,50
351,335.3991296780066,1,goal reached,53
352,348.93503528933866,1,goal reached,50
353,393.5360044829939,1,goal reached,49
354,351.6794703980188,1,goal reached,50
355,349.82405669924754,1,goal reached,50
356,603.9988738139996,1,goal reached,39
357,345.70604031083724,1,goal reached,53
358,98.235250646135,1,goal reached,60
359,348.8582332820969,1,goal reached,50
360,363.05239376347834,1,goal reached,50
361,335.3991296780066,1,goal reached,53
362,348.93503528933866,1,goal reached,50
363,393.5360044829939,1,goal reached,49
364,351.6794703980188,1,goal reached,50
365,349.82405669924754,1,goal reached,50
366,603.9988738139996,1,goal reached,39
367,345.70604031083724,1,goal reached,53
368,98.235250646135,1,goal reached,60
369,348.8582332820969,1,goal reached,50
370,363.05239376347834,1,goal reached,50
371,335.3991296780066,1,goal reached,53
372,348.93503528933866,1,goal reached,50
373,393.5360044829939,1,goal reached,49
374,351.6794703980188,1,goal reached,50
375,349.82405669924754,1,goal reached,50
376,603.9988738139996,1,goal reached,39
377,345.70604031083724,1,goal reached,53
378,98.235250646135,1,goal reached,60
379,348.8582332820969,1,goal reached,50
380,363.05239376347834,1,goal reached,50
381,335.3991296780066,1,goal reached,53
382,348.93503528933866,1,goal reached,50
383,393.5360044829939,1,goal reached,49
384,351.6794703980188,1,goal reached,50
385,349.82405669924754,1,goal reached,50
386,603.9988738139996,1,goal reached,39
387,345.70604031083724,1,goal reached,53
388,98.235250646135,1,goal reached,60
389,348.8582332820969,1,goal reached,50
390,363.05239376347834,1,goal reached,50
391,335.3991296780066,1,goal reached,53
392,348.93503528933866,1,goal reached,50
393,393.5360044829939,1,goal reached,49
394,351.6794703980188,1,goal reached,50
395,349.82405669924754,1,goal reached,50
396,603.9988738139996,1,goal reached,39
397,345.70604031083724,1,goal reached,53
398,98.235250646135,1,goal reached,60
399,348.8582332820969,1,goal reached,50
400,363.05239376347834,1,goal reached,50
401,335.3991296780066,1,goal reached,53
402,348.93503528933866,1,goal reached,50
403,393.5360044829939,1,goal reached,49
404,351.6794703980188,1,goal reached,50
405,349.82405669924754,1,goal reached,50
406,603.9988738139996,1,goal reached,39
407,345.70604031083724,1,goal reached,53
408,98.235250646135,1,goal reached,60
409,348.8582332820969,1,goal reached,50
410,363.05239376347834,1,goal reached,50
411,335.3991296780066,1,goal reached,53
412,348.93503528933866,1,goal reached,50
413,393.5360044829939,1,goal reached,49
414,351.6794703980188,1,goal reached,50
415,349.82405669924754,1,goal reached,50
416,603.9988738139996,1,goal reached,39
417,345.70604031083724,1,goal reached,53
418,98.235250646135,1,goal reached,60
419,348.8582332820969,1,goal reached,50
420,363.05239376347834,1,goal reached,50
421,335.3991296780066,1,goal reached,53
422,348.93503528933866,1,goal reached,50
423,393.5360044829939,1,goal reached,49
424,351.6794703980188,1,goal reached,50
425,349.82405669924754,1,goal reached,50
426,603.9988738139996,1,goal reached,39
427,345.70604031083724,1,goal reached,53
428,98.235250646135,1,goal reached,60
429,348.8582332820969,1,goal reached,50
430,363.05239376347834,1,goal reached,50
431,335.3991296780066,1,goal reached,53
432,348.93503528933866,1,goal reached,50
433,393.5360044829939,1,goal reached,49
434,351.6794703980188,1,goal reached,50
435,349.82405669924754,1,goal reached,50
436,603.9988738139996,1,goal reached,39
437,345.70604031083724,1,goal reached,53
